event_name,proposed_new_event_name,event_category,notes,event_trigger,handled_as_exception_in_code,event_value_not_id,event_value_joins_to,example_values,event_capture_start_date,event_capture_end_date
request.error,keep,error,"All event_value as of 8/1/25 have the key ""message""",Request error,,error_data_object,,"{""message"":""Must have only one of district_id, school_id, class_id, or district_grade_id""}",2/26/25,12/31/99
resource.download,keep,resource_download,Certain resources (documents type that are NOT PDFs) eventing was added 08/25 (in QA as of 082725),Clicked on file box or download button on header to download file resource,,,resource_id,105236,2/26/25,12/31/99
resource.fullScreen,keep,interface,,User clicked the full screen button available on some resources,,,resource_id,56278,2/26/25,12/31/99
resource.fullScreenExit,keep,interface,,User existed the full screen view,,,resource_id,18061,2/26/25,12/31/99
resource.header.frameworks.open.modal,keep,resource_open_header_frameworks,"event_value will be null if the ""+"" or the header itself is opened; event_value will correspond to a chip ID if a chip is clicked.","While in a resource such as an activity, clicked on a framework item in the header.",,,framework_item_id,,8/25/25,12/31/99
resource.media.changeVolume,keep,music_action,,"User changed music volume, such as by clicking the volume up or down buttons on a song",,,resource_id,48185,2/26/25,12/31/99
resource.media.pause,keep,music_action,,User paused music media,,,resource_id,37390,2/26/25,12/31/99
resource.media.play,keep,music_action,,User played music media,,,resource_id,37390,2/26/25,12/31/99
resource.media.seek,keep,music_action,,User clicked a specific place within music (ahead or behind of current play spot),,,resource_id,37390,2/26/25,12/31/99
resource.media.start,keep,music_action,,User started music media,,,resource_id,37390,2/26/25,12/31/99
resource.openInNewTab,keep,interface,,"When user clicked the ""Open in a new tab"" button on a resource, not the user duplicating a tab in the browser.",,,resource_id,109086,2/26/25,12/31/99
resource.pdf.changePage,keep,resource_pdf_ui,event_value_human_readable is a concatenation; not recreatable through data (elements will be in restructured events),User changed PDF page through choosing a page; not triggered by scrolling,,,,18220,2/26/25,12/31/99
resource.pdf.changeZoom,keep,resource_pdf_ui,,User changed PDF zoom,,,resource_id,18091,2/26/25,12/31/99
resource.playlist.autoPlay,keep,music_action,,User enabled/disabled playlist auto play,,,resource_id,18091,2/26/25,12/31/99
resource.playlist.changeSong,keep,music_action,,"User changed playlist song (clickedt he advance or next button, for example, when on another song)",,,resource_id,18091,2/26/25,12/31/99
resource.print,keep,resource_print,,Clicked on the in-platform print button (top right of the resource) which exists for two types: Document that is a PDF or an activity (native content). Will not be triggered if a user downloaded and then printed or if a user selects ctrl-P.,,,resource_id,18091,3/10/25,12/31/99
